Comment,Toxic
"Honestly, Stop posting rubbish. Better luck next time.",1
Great presentation. That's all.,0
"Honestly, Worst content ever. stupid Keep it up.",1
"Seriously, Absolutely ridiculous. stupid Have a nice day.",1
"Seriously, Nobody likes you. Better luck next time.",1
"Seriously, You are stupid. nonsense Thanks!",1
"Seriously, Your work is outstanding. awesome Please improve.",0
Your work is outstanding. polite Thanks!,0
"Honestly, Wonderful project. kind Have a nice day.",0
"Seriously, Thank you for your help. That's all.",0
I think Looking forward to more videos.,0
"Personally, Wonderful project. perfect Please improve.",0
"Personally, Wonderful project. Thanks!",0
"Seriously, Thank you for your help. Better luck next time.",0
I think You are so dumb. Please improve.,1
"Honestly, Wonderful project. nice Thanks!",0
I think I completely agree with your opinion. Keep it up.,0
"Personally, Well explained. helpful",0
"Seriously, You should quit. Better luck next time.",1
"Honestly, Keep up the good work. awesome Keep it up.",0
"Personally, This is nonsense. loser Thanks!",1
I think This is amazing. That's all.,0
You are so dumb. annoying Have a nice day.,1
"Honestly, You are very talented. Please improve.",0
I think You are very talented. kind That's all.,0
I think Great presentation. nice That's all.,0
"Personally, You make no sense. fool",1
"Seriously, This is amazing. kind Keep it up.",0
"In my opinion, Thank you for your help. Have a nice day.",0
"Personally, You did a great job. polite Have a nice day.",0
"In my opinion, Excellent explanation. Everyone agrees.",0
"Seriously, Absolutely ridiculous. Keep it up.",1
This is amazing. polite Better luck next time.,0
"Seriously, You are very talented. Thanks!",0
"Personally, You make no sense. nonsense That's all.",1
I think You are an inspiration. nice Keep it up.,0
"Honestly, You did a great job. Have a nice day.",0
"Personally, Great presentation. That's all.",0
"Personally, Pathetic work. nonsense Please improve.",1
"Honestly, This is nonsense. pathetic Keep it up.",1
"Seriously, What a waste. That's all.",1
"In my opinion, You are an inspiration. impressive Better luck next time.",0
"Personally, This tutorial is very useful. excellent",0
I think Excellent explanation. valuable Please improve.,0
I think Looking forward to more videos. Have a nice day.,0
I think You are an inspiration. excellent,0
You are an inspiration. Better luck next time.,0
I think Brilliant idea. wonderful,0
"Honestly, Looking forward to more videos. Better luck next time.",0
"Honestly, I really appreciate your effort. wonderful Keep it up.",0
You did a great job. Better luck next time.,0
"Honestly, Very informative content. Have a nice day.",0
This made my day. fantastic Have a nice day.,0
"Personally, You are an idiot. Keep it up.",1
"Honestly, Well explained. polite Thanks!",0
"Honestly, This made my day. Have a nice day.",0
"In my opinion, Stop posting rubbish. Better luck next time.",1
Wonderful project. smart Keep it up.,0
Pathetic work. worst Have a nice day.,1
I completely agree with your opinion. Everyone agrees.,0
"Personally, Great presentation. Keep it up.",0
"In my opinion, You make no sense. Have a nice day.",1
You should quit. ridiculous Please improve.,1
"In my opinion, This is the dumbest thing I've seen. Keep it up.",1
I think Keep up the good work. kind That's all.,0
I think This is garbage. idiot Keep it up.,1
"Honestly, You are so dumb. loser Have a nice day.",1
"Seriously, Terrible explanation. Have a nice day.",1
"In my opinion, This is garbage. pathetic Thanks!",1
"Honestly, You are so dumb. nonsense Everyone agrees.",1
"Seriously, Nobody likes you. Please improve.",1
I think Excellent explanation. Thanks!,0
"Seriously, You are so dumb. horrible Everyone agrees.",1
"Seriously, You are very talented. perfect Thanks!",0
Your ideas are terrible. trash Better luck next time.,1
"Personally, Your work is outstanding. Have a nice day.",0
"Seriously, You are so dumb. horrible Please improve.",1
"Seriously, You are completely useless. horrible Thanks!",1
I think Great presentation. impressive Please improve.,0
"Honestly, Brilliant idea. Better luck next time.",0
"Honestly, Your ideas are terrible. horrible Everyone agrees.",1
"Seriously, You are an inspiration. Thanks!",0
I think Your ideas are terrible. Keep it up.,1
"Honestly, You are a loser.",1
"Seriously, You should quit. idiot Everyone agrees.",1
I think Stop posting rubbish. Have a nice day.,1
"Personally, This is amazing. brilliant Better luck next time.",0
I think You are so dumb. dumb Have a nice day.,1
"Personally, Nobody likes you. That's all.",1
"In my opinion, Thank you for your help. That's all.",0
I think Keep up the good work. polite Please improve.,0
"In my opinion, This is nonsense. ridiculous Please improve.",1
"In my opinion, Excellent explanation. Better luck next time.",0
"Seriously, Well explained. polite Everyone agrees.",0
"In my opinion, What a waste. pathetic Please improve.",1
"Honestly, Worst content ever. trash Keep it up.",1
"Honestly, Pathetic work. Keep it up.",1
"Seriously, Your ideas are terrible. useless",1
"Honestly, Shut up. Have a nice day.",1
"Personally, I learned something new today. perfect Thanks!",0
"Seriously, I really appreciate your effort. kind Keep it up.",0
"Personally, You did a great job. That's all.",0
"Personally, Pathetic work. worst That's all.",1
"Personally, You make no sense. Everyone agrees.",1
"Personally, You are stupid.",1
"Personally, You are an idiot. useless Everyone agrees.",1
"Personally, Nobody likes you. useless",1
"Honestly, Great presentation. excellent Have a nice day.",0
You are so dumb.,1
"Personally, This is nonsense. ridiculous Keep it up.",1
"Honestly, This is garbage. Thanks!",1
"Honestly, I learned something new today. Please improve.",0
"In my opinion, Terrible explanation. useless Keep it up.",1
"Seriously, This is amazing.",0
"Personally, Well explained. kind Thanks!",0
"In my opinion, Absolutely ridiculous. horrible That's all.",1
Absolutely ridiculous. Better luck next time.,1
"Personally, This is nonsense. Have a nice day.",1
What a waste. idiot Better luck next time.,1
"Seriously, Thank you for your help. awesome Everyone agrees.",0
"Personally, What a waste. horrible Thanks!",1
You should quit. stupid,1
I think This tutorial is very useful. Have a nice day.,0
"In my opinion, This tutorial is very useful. brilliant Keep it up.",0
"Honestly, Wonderful project. Better luck next time.",0
"Honestly, Great presentation.",0
"Honestly, Fantastic work. Please improve.",0
"In my opinion, Wonderful project. Everyone agrees.",0
I think Fantastic work. Better luck next time.,0
"Honestly, You are an idiot. Better luck next time.",1
"In my opinion, Shut up. Have a nice day.",1
I think You did a great job. wonderful Keep it up.,0
"Seriously, Worst content ever. stupid Have a nice day.",1
"Honestly, Very informative content.",0
"In my opinion, Worst content ever. Thanks!",1
Wonderful project. Please improve.,0
"Honestly, Shut up. Better luck next time.",1
I think Thank you for your help. helpful Have a nice day.,0
I think Pathetic work. That's all.,1
I think What a waste. Keep it up.,1
"Personally, This made my day. valuable That's all.",0
Shut up. garbage Please improve.,1
"Seriously, This is garbage. Thanks!",1
"Seriously, I learned something new today. Thanks!",0
"Personally, Absolutely ridiculous. Please improve.",1
I think You are very talented. That's all.,0
"Seriously, Absolutely ridiculous. Thanks!",1
You are an inspiration. impressive Everyone agrees.,0
"Personally, Terrible explanation. stupid",1
You did a great job. wonderful Keep it up.,0
"Honestly, Looking forward to more videos. awesome Please improve.",0
You are a loser. annoying Better luck next time.,1
"Seriously, Very informative content. helpful That's all.",0
I think Your ideas are terrible. Please improve.,1
"Seriously, I really appreciate your effort. brilliant Keep it up.",0
"Honestly, Your ideas are terrible. pathetic Everyone agrees.",1
"Personally, Pathetic work. garbage Thanks!",1
Looking forward to more videos. That's all.,0
"Seriously, Great presentation. That's all.",0
You are an idiot. Please improve.,1
"Seriously, Nobody likes you. horrible Thanks!",1
I really appreciate your effort. Everyone agrees.,0
Well explained. valuable Better luck next time.,0
I think This tutorial is very useful. Please improve.,0
Your ideas are terrible. Better luck next time.,1
"In my opinion, You are a loser. Have a nice day.",1
I think Keep up the good work. Have a nice day.,0
"Honestly, You make no sense. trash",1
I think Very informative content.,0
"Personally, Fantastic work. Have a nice day.",0
"Personally, Terrible explanation. stupid Please improve.",1
I think This is amazing. fantastic Thanks!,0
You know nothing. ridiculous,1
"Honestly, What a waste. nonsense Thanks!",1
"Honestly, What a waste. loser Thanks!",1
You are an inspiration. polite Everyone agrees.,0
This is garbage. Everyone agrees.,1
"Honestly, Excellent explanation. smart Better luck next time.",0
"Seriously, Stop posting rubbish. Please improve.",1
"Personally, Brilliant idea. Have a nice day.",0
I think Very informative content. perfect Better luck next time.,0
"Personally, You make no sense. stupid Please improve.",1
"Personally, Pathetic work. garbage Thanks!",1
I think Worst content ever. loser Have a nice day.,1
"In my opinion, You are a loser. Keep it up.",1
I think Nobody likes you. annoying,1
I think Your ideas are terrible. Have a nice day.,1
Stop posting rubbish.,1
"In my opinion, You are stupid.",1
"In my opinion, You are very talented. polite Please improve.",0
"Honestly, I completely agree with your opinion. Please improve.",0
"Honestly, Stop posting rubbish. Better luck next time.",1
I think What a waste. useless,1
"Seriously, You are so dumb. Thanks!",1
Pathetic work. horrible Please improve.,1
"Honestly, Your ideas are terrible. stupid Better luck next time.",1
"In my opinion, Your work is outstanding. Thanks!",0
I think Shut up. dumb Keep it up.,1
"Seriously, Shut up. dumb Everyone agrees.",1
"In my opinion, I completely agree with your opinion. Keep it up.",0
You did a great job. creative That's all.,0
"Honestly, Stop posting rubbish. annoying",1
I think I really appreciate your effort. smart Everyone agrees.,0
"Honestly, Pathetic work. horrible",1
I think This tutorial is very useful. awesome Everyone agrees.,0
You are an idiot. Better luck next time.,1
"In my opinion, I really appreciate your effort. Please improve.",0
I think Brilliant idea. Please improve.,0
"Personally, Absolutely ridiculous. trash",1
I think You are so dumb. Have a nice day.,1
Great presentation. helpful Please improve.,0
You are an inspiration. smart,0
"Honestly, Shut up. awful Please improve.",1
I think Shut up. awful Please improve.,1
"Seriously, Terrible explanation. worst Keep it up.",1
"Personally, Fantastic work. That's all.",0
I think Nobody likes you.,1
I think Looking forward to more videos. Please improve.,0
I think This made my day. polite Have a nice day.,0
"In my opinion, This is garbage. dumb Everyone agrees.",1
Looking forward to more videos. Keep it up.,0
"In my opinion, You are a loser. Everyone agrees.",1
I think You are very talented. Better luck next time.,0
"Honestly, This is the dumbest thing I've seen. Have a nice day.",1
I think Nobody likes you. Everyone agrees.,1
"Honestly, Shut up. idiot That's all.",1
"Personally, I really appreciate your effort. fantastic That's all.",0
I think You make no sense. fool That's all.,1
"Personally, Looking forward to more videos. That's all.",0
I think You are completely useless. stupid Keep it up.,1
"Honestly, Well explained. Everyone agrees.",0
"In my opinion, Excellent explanation. awesome Thanks!",0
"In my opinion, Pathetic work. worst",1
"Honestly, This tutorial is very useful. Have a nice day.",0
"Seriously, You are completely useless. Better luck next time.",1
"Seriously, Nobody likes you. Thanks!",1
"In my opinion, Absolutely ridiculous. fool Have a nice day.",1
Stop posting rubbish. pathetic Everyone agrees.,1
"Personally, This tutorial is very useful. Please improve.",0
Keep up the good work. helpful Better luck next time.,0
"Personally, This made my day. Better luck next time.",0
"Personally, I completely agree with your opinion. nice That's all.",0
"In my opinion, Stop posting rubbish. garbage Better luck next time.",1
"Personally, This made my day. good",0
I think Excellent explanation. awesome Keep it up.,0
"Personally, I really appreciate your effort. Thanks!",0
"In my opinion, Stop posting rubbish. useless Everyone agrees.",1
I think You are completely useless. dumb Better luck next time.,1
"In my opinion, I completely agree with your opinion. Thanks!",0
This tutorial is very useful. good Please improve.,0
"Seriously, Absolutely ridiculous. stupid Have a nice day.",1
I think You are an inspiration. Everyone agrees.,0
I think What a waste.,1
I think You are an inspiration. valuable Everyone agrees.,0
This is garbage. annoying Keep it up.,1
"Honestly, Looking forward to more videos. Thanks!",0
Looking forward to more videos. Have a nice day.,0
"Seriously, Fantastic work. smart Keep it up.",0
"Honestly, This tutorial is very useful. fantastic Have a nice day.",0
"Seriously, Stop posting rubbish. Everyone agrees.",1
"Honestly, You did a great job. Please improve.",0
You are an inspiration. Everyone agrees.,0
"Honestly, Keep up the good work.",0
"Honestly, Brilliant idea. That's all.",0
Looking forward to more videos. That's all.,0
"In my opinion, You are so dumb. horrible Have a nice day.",1
"Honestly, This is garbage. That's all.",1
I think Nobody likes you. That's all.,1
"In my opinion, Well explained. Thanks!",0
"Seriously, You are an idiot.",1
"Honestly, Brilliant idea. wonderful Keep it up.",0
I think You know nothing. Have a nice day.,1
"Honestly, Your ideas are terrible. pathetic That's all.",1
"Seriously, Terrible explanation. Everyone agrees.",1
"Seriously, You are very talented. Everyone agrees.",0
I completely agree with your opinion. excellent,0
"Honestly, This is amazing. impressive",0
I think This is nonsense. horrible That's all.,1
"Seriously, Fantastic work. polite",0
"Personally, Your work is outstanding. awesome Thanks!",0
"Personally, This tutorial is very useful. Keep it up.",0
I think Keep up the good work. Keep it up.,0
I think Your ideas are terrible. Have a nice day.,1
Absolutely ridiculous. loser Thanks!,1
"In my opinion, Great presentation. Have a nice day.",0
"Seriously, Looking forward to more videos. fantastic Everyone agrees.",0
"Seriously, Great presentation. Everyone agrees.",0
"In my opinion, I really appreciate your effort. good That's all.",0
I think You are so dumb. fool Please improve.,1
"Personally, You are an idiot. loser Better luck next time.",1
"Seriously, You are so dumb. That's all.",1
I think Your work is outstanding. Please improve.,0
"Seriously, This is nonsense. pathetic",1
I think This made my day. fantastic Thanks!,0
"Seriously, You make no sense. garbage",1
"Honestly, This made my day. Thanks!",0
"Personally, Terrible explanation. Thanks!",1
I think This is garbage. loser Keep it up.,1
"Honestly, You did a great job. Have a nice day.",0
"Seriously, I really appreciate your effort. creative That's all.",0
"Honestly, This is amazing. fantastic Keep it up.",0
"In my opinion, Your ideas are terrible. annoying Better luck next time.",1
I think You are a loser. trash Better luck next time.,1
"Seriously, Your ideas are terrible. loser Have a nice day.",1
"In my opinion, This tutorial is very useful. wonderful Everyone agrees.",0
"Seriously, Excellent explanation. helpful Have a nice day.",0
Your ideas are terrible. stupid Keep it up.,1
"Honestly, Very informative content. perfect Keep it up.",0
"Honestly, You know nothing. Better luck next time.",1
"In my opinion, This is garbage. That's all.",1
"In my opinion, Worst content ever. loser Keep it up.",1
"Seriously, You did a great job. Everyone agrees.",0
Absolutely ridiculous. Keep it up.,1
"Honestly, Worst content ever. Better luck next time.",1
"Honestly, You are very talented.",0
"Honestly, I really appreciate your effort. excellent That's all.",0
"Honestly, You make no sense. trash That's all.",1
"Honestly, This is amazing. Have a nice day.",0
"Honestly, You are so dumb. loser Better luck next time.",1
"Personally, Terrible explanation. Keep it up.",1
Pathetic work. Thanks!,1
"Personally, You should quit. fool Better luck next time.",1
This is the dumbest thing I've seen. annoying Keep it up.,1
"In my opinion, You are an idiot. nonsense",1
"Honestly, This is garbage. awful Keep it up.",1
"Honestly, Fantastic work. That's all.",0
Stop posting rubbish. ridiculous Please improve.,1
I think This made my day. Everyone agrees.,0
I think Keep up the good work. Thanks!,0
You are a loser. Thanks!,1
"Personally, I learned something new today. perfect That's all.",0
I think Looking forward to more videos. perfect That's all.,0
"Honestly, You are very talented. smart That's all.",0
"Seriously, Shut up. idiot",1
"Personally, Stop posting rubbish. idiot Everyone agrees.",1
Looking forward to more videos. helpful,0
I think You are very talented. Thanks!,0
I think Your work is outstanding. kind Keep it up.,0
"Seriously, You are so dumb. garbage Thanks!",1
Absolutely ridiculous. stupid Everyone agrees.,1
"Honestly, You did a great job. creative That's all.",0
Well explained. good Have a nice day.,0
"Honestly, Your ideas are terrible. annoying",1
"In my opinion, You are an idiot. annoying Everyone agrees.",1
I think Your work is outstanding. That's all.,0
"Personally, Fantastic work. Everyone agrees.",0
"Personally, Well explained. Everyone agrees.",0
This is garbage. Thanks!,1
"Personally, Nobody likes you. stupid Please improve.",1
"Personally, You are so dumb. loser That's all.",1
"In my opinion, You make no sense. That's all.",1
This is amazing. good Everyone agrees.,0
"Personally, Looking forward to more videos. valuable Please improve.",0
"Seriously, Brilliant idea. Have a nice day.",0
"Personally, You should quit. worst",1
"Honestly, Very informative content. Everyone agrees.",0
"Honestly, Brilliant idea. excellent Thanks!",0
"Personally, You know nothing. Have a nice day.",1
"Personally, Worst content ever. worst Keep it up.",1
You should quit. annoying Have a nice day.,1
"Personally, Stop posting rubbish. useless",1
"Honestly, I really appreciate your effort. Thanks!",0
I think Absolutely ridiculous. fool,1
"In my opinion, You are an idiot. Have a nice day.",1
"Personally, Keep up the good work. That's all.",0
I think Terrible explanation. idiot Please improve.,1
"Honestly, This is amazing. Have a nice day.",0
"Honestly, Wonderful project. awesome Please improve.",0
I think Shut up. Please improve.,1
"Personally, Terrible explanation. Please improve.",1
"Honestly, You did a great job. Everyone agrees.",0
I think This is amazing. smart,0
"Seriously, I really appreciate your effort. creative",0
"Seriously, I learned something new today. That's all.",0
I think Stop posting rubbish. annoying Thanks!,1
"In my opinion, This is amazing. smart Better luck next time.",0
"Honestly, Wonderful project. Please improve.",0
You make no sense. stupid Better luck next time.,1
"Honestly, Your ideas are terrible. garbage That's all.",1
This is garbage. stupid Have a nice day.,1
"Personally, You make no sense. Better luck next time.",1
"Honestly, You are completely useless. dumb That's all.",1
Thank you for your help. impressive Have a nice day.,0
"Personally, You are an inspiration. Please improve.",0
"Personally, Brilliant idea. wonderful Have a nice day.",0
"In my opinion, Wonderful project. creative Please improve.",0
"Personally, You are so dumb. annoying Keep it up.",1
"Honestly, I completely agree with your opinion. That's all.",0
"Seriously, Your ideas are terrible. Thanks!",1
"Seriously, You are a loser. Keep it up.",1
"Seriously, Shut up. fool Please improve.",1
I think Very informative content. Everyone agrees.,0
"Personally, Worst content ever. That's all.",1
I think You are very talented. excellent,0
"Personally, Absolutely ridiculous. awful",1
"Personally, I really appreciate your effort. valuable That's all.",0
"Personally, Worst content ever. Thanks!",1
"Personally, Worst content ever. Have a nice day.",1
"Seriously, Great presentation. Thanks!",0
Excellent explanation. excellent Thanks!,0
"Honestly, This is amazing. Have a nice day.",0
"In my opinion, Brilliant idea. valuable Keep it up.",0
"Seriously, Well explained. brilliant Have a nice day.",0
You make no sense. idiot,1
"Personally, This made my day. kind Thanks!",0
You know nothing. Everyone agrees.,1
"Honestly, What a waste. fool Everyone agrees.",1
"Personally, You are an inspiration. Keep it up.",0
I think Your ideas are terrible. stupid Have a nice day.,1
"Seriously, Well explained. perfect",0
I think You know nothing. horrible,1
I think Very informative content. Everyone agrees.,0
I think You are an inspiration. excellent Everyone agrees.,0
"Seriously, This is the dumbest thing I've seen. Everyone agrees.",1
"In my opinion, Keep up the good work. Have a nice day.",0
"Personally, This tutorial is very useful. awesome Better luck next time.",0
Your work is outstanding. kind That's all.,0
"Honestly, Your ideas are terrible. horrible Thanks!",1
"Personally, You should quit. idiot That's all.",1
"Personally, Your ideas are terrible. dumb Better luck next time.",1
"In my opinion, Very informative content. smart Please improve.",0
"Personally, You make no sense. trash",1
"In my opinion, You know nothing. That's all.",1
"Personally, Pathetic work. useless Everyone agrees.",1
Well explained. Please improve.,0
Well explained. smart Have a nice day.,0
"In my opinion, You are stupid. worst Have a nice day.",1
"Personally, This is the dumbest thing I've seen. trash Everyone agrees.",1
I think Fantastic work. Keep it up.,0
"Honestly, Your work is outstanding. excellent Better luck next time.",0
"Personally, Your work is outstanding. impressive That's all.",0
"Seriously, This is garbage. Everyone agrees.",1
"Honestly, Well explained. creative Thanks!",0
I think This made my day. Everyone agrees.,0
"Personally, Very informative content. smart Have a nice day.",0
I learned something new today. Keep it up.,0
"In my opinion, Keep up the good work. wonderful That's all.",0
"In my opinion, You are so dumb. garbage Please improve.",1
"Personally, Very informative content. perfect Thanks!",0
I really appreciate your effort. valuable Thanks!,0
"Honestly, Fantastic work. That's all.",0
I think You are very talented. That's all.,0
"In my opinion, This tutorial is very useful. smart Keep it up.",0
"Seriously, You are an inspiration. helpful Everyone agrees.",0
"Personally, Terrible explanation. horrible That's all.",1
"In my opinion, Your work is outstanding. polite That's all.",0
"Honestly, This tutorial is very useful. perfect",0
I think You are an idiot. Better luck next time.,1
"Honestly, Your work is outstanding. kind Please improve.",0
Wonderful project. impressive Better luck next time.,0
"Personally, You are very talented. Everyone agrees.",0
"Personally, This is amazing. valuable Have a nice day.",0
I really appreciate your effort. kind Everyone agrees.,0
What a waste. garbage Have a nice day.,1
"In my opinion, Very informative content. excellent Have a nice day.",0
"Honestly, This is garbage. garbage Please improve.",1
"Honestly, Very informative content. polite Please improve.",0
I think You are so dumb. pathetic Please improve.,1
"Honestly, Your work is outstanding. That's all.",0
I think You did a great job. Better luck next time.,0
"Honestly, You are an inspiration. Better luck next time.",0
"Personally, Worst content ever. That's all.",1
Your work is outstanding. good Please improve.,0
"Personally, Fantastic work.",0
"In my opinion, You did a great job. Have a nice day.",0
Your ideas are terrible. That's all.,1
"Honestly, Looking forward to more videos. Have a nice day.",0
"Personally, Brilliant idea. smart That's all.",0
I think You are an idiot. loser Please improve.,1
"Personally, You are so dumb. loser Have a nice day.",1
I think Excellent explanation. fantastic Keep it up.,0
"Personally, Thank you for your help. wonderful Everyone agrees.",0
"Honestly, This is the dumbest thing I've seen. idiot Have a nice day.",1
"In my opinion, You are very talented. Have a nice day.",0
I think Brilliant idea. Please improve.,0
"Honestly, Stop posting rubbish. useless",1
"In my opinion, Excellent explanation. good Have a nice day.",0
"Seriously, Brilliant idea. That's all.",0
"Honestly, You should quit. Better luck next time.",1
You are completely useless. Thanks!,1
I think This is nonsense. Please improve.,1
"Personally, Keep up the good work. fantastic Thanks!",0
I think What a waste. horrible Better luck next time.,1
You are very talented. brilliant Keep it up.,0
"Personally, You did a great job. impressive",0
"In my opinion, Nobody likes you. loser Please improve.",1
"Personally, You are so dumb. loser Have a nice day.",1
I think This is nonsense. stupid Everyone agrees.,1
This made my day. awesome Better luck next time.,0
"Personally, Great presentation. nice Have a nice day.",0
Worst content ever. stupid Keep it up.,1
"In my opinion, Keep up the good work. kind Thanks!",0
"Personally, Excellent explanation. helpful That's all.",0
This is garbage. Have a nice day.,1
"Honestly, Looking forward to more videos. Keep it up.",0
Keep up the good work. That's all.,0
I think This is nonsense. annoying Keep it up.,1
"Personally, You should quit. Have a nice day.",1
"Honestly, Worst content ever. Please improve.",1
"Seriously, Fantastic work. That's all.",0
"Seriously, Looking forward to more videos.",0
"Honestly, You are stupid. idiot Have a nice day.",1
"Seriously, You know nothing. loser Keep it up.",1
"Honestly, You are a loser. Better luck next time.",1
I think Worst content ever. dumb,1
"Personally, You make no sense. ridiculous Please improve.",1
I think Nobody likes you. awful Thanks!,1
"Personally, Keep up the good work. awesome Thanks!",0
"Personally, You are an inspiration. Keep it up.",0
"In my opinion, You are completely useless. Everyone agrees.",1
"Seriously, Wonderful project. fantastic That's all.",0
"Honestly, Thank you for your help. creative That's all.",0
"Personally, Excellent explanation. good Keep it up.",0
"Personally, Worst content ever. fool Thanks!",1
I think You make no sense. annoying Please improve.,1
"Honestly, Worst content ever. loser Please improve.",1
"In my opinion, Absolutely ridiculous. pathetic Thanks!",1
"Personally, Worst content ever. loser Better luck next time.",1
"In my opinion, Brilliant idea. awesome Keep it up.",0
I think Well explained. awesome That's all.,0
"Personally, You are stupid. horrible Better luck next time.",1
You are so dumb. idiot That's all.,1
I think Brilliant idea. That's all.,0
"Honestly, You are an idiot. Have a nice day.",1
I think Great presentation. fantastic Thanks!,0
I think You know nothing. Thanks!,1
"Personally, Stop posting rubbish. Better luck next time.",1
Absolutely ridiculous. worst Thanks!,1
"In my opinion, You know nothing. pathetic Keep it up.",1
"Seriously, Well explained. creative Keep it up.",0
"Honestly, You are stupid. idiot Better luck next time.",1
"Personally, This is the dumbest thing I've seen. fool",1
This is garbage. loser Have a nice day.,1
I think Terrible explanation. pathetic Keep it up.,1
"Honestly, Great presentation. good Better luck next time.",0
"Honestly, Well explained. awesome Have a nice day.",0
"Seriously, You should quit. fool Better luck next time.",1
You are an inspiration. Please improve.,0
I think Fantastic work. Everyone agrees.,0
"Personally, Worst content ever. Have a nice day.",1
"Honestly, You did a great job. Have a nice day.",0
I think Terrible explanation. awful,1
"Seriously, This is the dumbest thing I've seen. ridiculous Please improve.",1
"In my opinion, Well explained. Thanks!",0
"In my opinion, Absolutely ridiculous. annoying Better luck next time.",1
I think Stop posting rubbish. awful Thanks!,1
I think You make no sense. trash,1
I think Excellent explanation. perfect Better luck next time.,0
Your ideas are terrible. garbage Everyone agrees.,1
"Honestly, Nobody likes you. Have a nice day.",1
I think You know nothing. Better luck next time.,1
"Seriously, Excellent explanation. excellent Everyone agrees.",0
You are so dumb. garbage,1
"Personally, Fantastic work. That's all.",0
"In my opinion, Keep up the good work. Thanks!",0
"Personally, You are an inspiration. excellent Have a nice day.",0
"Personally, This made my day. awesome Have a nice day.",0
I think You are stupid. annoying That's all.,1
I think Brilliant idea. fantastic Thanks!,0
Your ideas are terrible. awful Please improve.,1
"Honestly, Pathetic work. fool Everyone agrees.",1
"Personally, Looking forward to more videos. awesome That's all.",0
"In my opinion, You are stupid. useless Please improve.",1
"Seriously, You are stupid. Better luck next time.",1
Your work is outstanding. Have a nice day.,0
Absolutely ridiculous. worst Keep it up.,1
"Personally, What a waste. Everyone agrees.",1
"In my opinion, Worst content ever. trash That's all.",1
"Personally, I completely agree with your opinion. Thanks!",0
"In my opinion, Keep up the good work. Keep it up.",0
I think You did a great job. creative That's all.,0
I think You make no sense. Better luck next time.,1
You are an inspiration. brilliant Have a nice day.,0
I think Great presentation. helpful Thanks!,0
"In my opinion, Nobody likes you. fool Have a nice day.",1
"Honestly, You are a loser. Everyone agrees.",1
I think Looking forward to more videos. impressive Have a nice day.,0
"In my opinion, You are very talented. wonderful Everyone agrees.",0
What a waste. Please improve.,1
Brilliant idea. perfect That's all.,0
I think Shut up. nonsense Have a nice day.,1
You did a great job. polite Have a nice day.,0
"Honestly, You are a loser. Have a nice day.",1
"In my opinion, Keep up the good work. polite Thanks!",0
I think Fantastic work. good Better luck next time.,0
"Seriously, What a waste. horrible Thanks!",1
Terrible explanation. Please improve.,1
"Honestly, Excellent explanation. valuable That's all.",0
"Personally, You are a loser. Everyone agrees.",1
I think I learned something new today. Everyone agrees.,0
I think I completely agree with your opinion.,0
"In my opinion, What a waste. Better luck next time.",1
"Personally, Looking forward to more videos. Better luck next time.",0
I think This is amazing. Keep it up.,0
"Seriously, You did a great job. brilliant Have a nice day.",0
I think You should quit. Thanks!,1
"Seriously, I learned something new today. Everyone agrees.",0
"Seriously, This tutorial is very useful. good Better luck next time.",0
I think Wonderful project. fantastic Have a nice day.,0
"In my opinion, You are an inspiration. impressive Please improve.",0
Wonderful project. brilliant Better luck next time.,0
"Personally, Worst content ever. nonsense Everyone agrees.",1
"Seriously, I really appreciate your effort. excellent Have a nice day.",0
"Seriously, You should quit. Please improve.",1
"Seriously, Shut up. stupid Have a nice day.",1
"Seriously, Very informative content. good Better luck next time.",0
Wonderful project. valuable Everyone agrees.,0
I think What a waste. awful That's all.,1
"Honestly, Terrible explanation. worst Everyone agrees.",1
"Personally, You did a great job. excellent Everyone agrees.",0
"Seriously, You should quit. Better luck next time.",1
"In my opinion, You are very talented. Better luck next time.",0
"Seriously, You should quit. useless",1
"Seriously, Worst content ever. Better luck next time.",1
I think Fantastic work. nice Better luck next time.,0
This is amazing. good Please improve.,0
"In my opinion, Shut up.",1
I think Nobody likes you. nonsense Better luck next time.,1
"Seriously, Wonderful project. Keep it up.",0
"Seriously, This is amazing. helpful That's all.",0
"Honestly, I learned something new today. fantastic Please improve.",0
"Seriously, You should quit. Keep it up.",1
"Personally, You are an inspiration. polite Thanks!",0
"In my opinion, Nobody likes you. stupid Thanks!",1
"Seriously, Looking forward to more videos. nice Thanks!",0
"Seriously, This made my day. polite Keep it up.",0
I think Terrible explanation. awful Everyone agrees.,1
You are so dumb. Have a nice day.,1
"Personally, Very informative content. Have a nice day.",0
"Seriously, You did a great job. polite That's all.",0
I think This is nonsense. idiot Thanks!,1
I think You are very talented. Everyone agrees.,0
You know nothing. stupid Have a nice day.,1
"In my opinion, You are a loser. awful",1
"In my opinion, You did a great job. creative Please improve.",0
Stop posting rubbish. Have a nice day.,1
"In my opinion, You are a loser. worst Everyone agrees.",1
I really appreciate your effort. Please improve.,0
"Honestly, Terrible explanation. Better luck next time.",1
"Personally, You should quit. That's all.",1
"In my opinion, Nobody likes you. Everyone agrees.",1
"Seriously, Worst content ever. horrible That's all.",1
"Personally, Shut up. nonsense",1
Well explained. perfect Please improve.,0
"Honestly, I really appreciate your effort. Please improve.",0
I think This is garbage. nonsense,1
"Seriously, Wonderful project. That's all.",0
"Honestly, You are so dumb. Everyone agrees.",1
