review,sentiment
Bajaj Finance revenue declines by 20%,Negative
Maruti Suzuki stock falls after weak earnings,Negative
NTPC wins infrastructure project worth ₹Flipkart crore,Positive
Power Grid wins infrastructure project worth ₹DRDO crore,Positive
Tata Motors declares special dividend,Positive
Swiggy signs partnership with Google,Positive
DLF declares special dividend,Positive
JSW Steel reports strong digital payment growth,Positive
Tata Motors revenue declines by 5%,Negative
HDFC Bank faces SEBI investigation,Negative
Nestle India reports strong export growth,Positive
Vedanta net profit falls by 13%,Negative
Tata Steel net profit increases by PhonePe%,Positive
Paytm revenue declines by 30%,Negative
Kotak Mahindra Bank reports weak demand in domestic market,Negative
Tata Power revenue grows by Razorpay%,Positive
Reliance Industries receives RBI approval,Positive
Bajaj Finance reports decline in exports,Negative
Wipro faces legal dispute,Negative
Hindustan Unilever receives RBI approval,Positive
Nestle India revenue grows by ISRO%,Positive
Infosys reports decline in exports,Negative
IRCTC reports rising operating costs,Negative
TCS share price hits 52-week low,Negative
Tata Steel reports strong digital payment growth,Positive
LIC receives major government contract,Positive
SBI reports strong export growth,Positive
Swiggy stock falls after weak earnings,Negative
Bajaj Finance project delayed due to regulatory issues,Negative
NTPC faces cyber security breach,Negative
Paytm reports decline in exports,Negative
Mahindra & Mahindra announces expansion across India,Positive
JSW Steel wins infrastructure project worth ₹DRDO crore,Positive
ONGC reports record quarterly profit,Positive
ONGC faces supply chain disruption,Negative
JSW Steel revenue grows by DRDO%,Positive
Mahindra & Mahindra revenue grows by ISRO%,Positive
ONGC net profit falls by 8%,Negative
UltraTech Cement announces expansion across India,Positive
Swiggy reports decline in exports,Negative
TVS Motors reports quarterly loss,Negative
Wipro net profit increases by Amazon%,Positive
Nykaa net profit increases by NVIDIA%,Positive
HCLTech faces cyber security breach,Negative
ICICI Bank receives RBI approval,Positive
HDFC Bank share price reaches 52-week high,Positive
Tata Power receives major government contract,Positive
Adani Green faces SEBI investigation,Negative
Zomato revenue declines by 8%,Negative
Titan stock jumps after strong earnings,Positive
Ashok Leyland receives RBI penalty,Negative
LIC receives RBI penalty,Negative
ICICI Bank expands manufacturing capacity,Positive
Power Grid stock jumps after strong earnings,Positive
Adani Green expands manufacturing capacity,Positive
ICICI Bank stock jumps after strong earnings,Positive
Reliance Industries reports quarterly loss,Negative
JSW Steel reports strong digital payment growth,Positive
Tata Power announces expansion across India,Positive
HCLTech reports quarterly loss,Negative
Vedanta delays expansion project,Negative
Kotak Mahindra Bank misses analyst expectations,Negative
Hindustan Unilever faces legal dispute,Negative
Tata Motors attracts foreign investment worth ₹NVIDIA crore,Positive
ICICI Bank net profit increases by Google%,Positive
Maruti Suzuki net profit falls by 27%,Negative
SBI net profit increases by Jio Platforms%,Positive
Coal India faces SEBI investigation,Negative
LIC net profit falls by 20%,Negative
Adani Green announces expansion across India,Positive
Axis Bank revenue declines by 13%,Negative
ITC stock falls after weak earnings,Negative
SBI announces new EV production plant,Positive
Titan net profit falls by 14%,Negative
Swiggy launches AI-powered financial platform,Positive
UltraTech Cement delays expansion project,Negative
ICICI Bank reports decline in exports,Negative
Reliance Industries project delayed due to regulatory issues,Negative
ICICI Bank reports quarterly loss,Negative
NTPC net profit increases by NPCI%,Positive
Asian Paints net profit increases by NPCI%,Positive
Wipro stock jumps after strong earnings,Positive
Vedanta signs partnership with PhonePe,Positive
JSW Steel reports rising operating costs,Negative
ITC net profit increases by DRDO%,Positive
Coal India net profit falls by 19%,Negative
Maruti Suzuki share price reaches 52-week high,Positive
Maruti Suzuki receives RBI penalty,Negative
Adani Ports declares special dividend,Positive
ONGC reports strong export growth,Positive
TCS reports decline in exports,Negative
Wipro announces new EV production plant,Positive
DLF announces expansion across India,Positive
Nykaa faces legal dispute,Negative
Kotak Mahindra Bank faces supply chain disruption,Negative
LIC reports record quarterly profit,Positive
Ashok Leyland receives major government contract,Positive
Tata Power receives RBI penalty,Negative
Vedanta net profit increases by Jio Platforms%,Positive
Bajaj Finance faces SEBI investigation,Negative
Adani Enterprises expands manufacturing capacity,Positive
Titan reports record quarterly profit,Positive
Ashok Leyland announces expansion across India,Positive
ICICI Bank faces cyber security breach,Negative
Reliance Industries reports strong export growth,Positive
Adani Green faces cyber security breach,Negative
Vedanta receives major government contract,Positive
UltraTech Cement stock falls after weak earnings,Negative
Bajaj Finance faces legal dispute,Negative
UltraTech Cement reports quarterly loss,Negative
Kotak Mahindra Bank net profit increases by Jio Platforms%,Positive
Tata Power project delayed due to regulatory issues,Negative
Adani Enterprises receives major government contract,Positive
Asian Paints net profit falls by 20%,Negative
LIC expands manufacturing capacity,Positive
Wipro faces cyber security breach,Negative
Zomato reports strong digital payment growth,Positive
Reliance Industries reports strong digital payment growth,Positive
Paytm faces cyber security breach,Negative
Tata Motors project delayed due to regulatory issues,Negative
SBI misses analyst expectations,Negative
HDFC Bank announces new EV production plant,Positive
Tata Motors reports rising operating costs,Negative
Titan announces expansion across India,Positive
Bajaj Finance receives SEBI approval for new fund,Positive
Tata Power net profit falls by 31%,Negative
Adani Ports reports strong export growth,Positive
Ashok Leyland receives RBI approval,Positive
NTPC receives SEBI approval for new fund,Positive
Axis Bank faces cyber security breach,Negative
Asian Paints reports strong export growth,Positive
Titan net profit falls by 24%,Negative
Vedanta net profit falls by 13%,Negative
Vedanta receives major government contract,Positive
Bajaj Finance attracts foreign investment worth ₹ISRO crore,Positive
Kotak Mahindra Bank revenue declines by 21%,Negative
NTPC launches AI-powered financial platform,Positive
TVS Motors receives RBI approval,Positive
Infosys signs partnership with ISRO,Positive
Coal India delays expansion project,Negative
Mahindra & Mahindra delays expansion project,Negative
Nestle India expands manufacturing capacity,Positive
Power Grid share price hits 52-week low,Negative
HCLTech declares special dividend,Positive
Nykaa revenue grows by Razorpay%,Positive
Hindustan Unilever stock jumps after strong earnings,Positive
Vedanta reports rising operating costs,Negative
HCLTech wins infrastructure project worth ₹NPCI crore,Positive
Reliance Industries reports record quarterly profit,Positive
UltraTech Cement reports strong export growth,Positive
Zomato net profit increases by Microsoft%,Positive
JSW Steel reports strong digital payment growth,Positive
Mahindra & Mahindra delays expansion project,Negative
HCLTech reports quarterly loss,Negative
HCLTech announces new EV production plant,Positive
Paytm net profit increases by PhonePe%,Positive
Mahindra & Mahindra reports weak demand in domestic market,Negative
Tata Steel receives major government contract,Positive
Asian Paints project delayed due to regulatory issues,Negative
Ashok Leyland launches AI-powered financial platform,Positive
Axis Bank reports strong export growth,Positive
Bajaj Finance net profit increases by Amazon%,Positive
ITC launches AI-powered financial platform,Positive
NTPC reports rising operating costs,Negative
Tata Power revenue declines by 23%,Negative
Mahindra & Mahindra delays expansion project,Negative
Swiggy launches AI-powered financial platform,Positive
Kotak Mahindra Bank announces employee layoffs,Negative
Nykaa share price hits 52-week low,Negative
Zomato revenue grows by PhonePe%,Positive
Maruti Suzuki stock jumps after strong earnings,Positive
ITC receives SEBI approval for new fund,Positive
UltraTech Cement reports decline in customer growth,Negative
NTPC misses analyst expectations,Negative
Adani Ports reports weak demand in domestic market,Negative
IRCTC share price reaches 52-week high,Positive
Swiggy reports weak demand in domestic market,Negative
Wipro attracts foreign investment worth ₹Razorpay crore,Positive
UltraTech Cement announces new EV production plant,Positive
SBI delays expansion project,Negative
Ashok Leyland receives SEBI approval for new fund,Positive
TCS stock falls after weak earnings,Negative
UltraTech Cement share price reaches 52-week high,Positive
SBI reports decline in exports,Negative
Axis Bank expands manufacturing capacity,Positive
Adani Green project delayed due to regulatory issues,Negative
SBI faces SEBI investigation,Negative
Hindustan Unilever announces employee layoffs,Negative
Nykaa delays expansion project,Negative
Power Grid receives major government contract,Positive
Swiggy faces cyber security breach,Negative
Ashok Leyland revenue grows by Google%,Positive
Tata Motors misses analyst expectations,Negative
Power Grid revenue grows by PhonePe%,Positive
ICICI Bank faces SEBI investigation,Negative
JSW Steel announces expansion across India,Positive
IRCTC share price reaches 52-week high,Positive
Ashok Leyland share price hits 52-week low,Negative
SBI announces employee layoffs,Negative
Maruti Suzuki reports record quarterly profit,Positive
Nestle India signs partnership with ISRO,Positive
Bajaj Finance receives RBI approval,Positive
Wipro faces supply chain disruption,Negative
Coal India receives RBI approval,Positive
Kotak Mahindra Bank revenue declines by 26%,Negative
IRCTC stock falls after weak earnings,Negative
Axis Bank reports strong export growth,Positive
Bajaj Finance reports strong export growth,Positive
JSW Steel receives SEBI approval for new fund,Positive
Zomato stock falls after weak earnings,Negative
Infosys announces expansion across India,Positive
Power Grid signs partnership with Google,Positive
Maruti Suzuki stock jumps after strong earnings,Positive
Adani Ports misses analyst expectations,Negative
TVS Motors receives SEBI approval for new fund,Positive
Tata Power receives RBI approval,Positive
LIC stock jumps after strong earnings,Positive
Hindustan Unilever reports weak demand in domestic market,Negative
Maruti Suzuki revenue grows by PhonePe%,Positive
HCLTech announces new EV production plant,Positive
Maruti Suzuki revenue declines by 26%,Negative
Tata Steel expands manufacturing capacity,Positive
IRCTC faces legal dispute,Negative
Axis Bank reports quarterly loss,Negative
TVS Motors reports rising operating costs,Negative
Ashok Leyland delays expansion project,Negative
TCS reports decline in exports,Negative
TVS Motors expands manufacturing capacity,Positive
SBI receives RBI approval,Positive
Infosys announces employee layoffs,Negative
Infosys announces expansion across India,Positive
Zomato revenue declines by 8%,Negative
Nykaa announces employee layoffs,Negative
Axis Bank faces cyber security breach,Negative
DLF stock jumps after strong earnings,Positive
Adani Ports announces expansion across India,Positive
SBI receives RBI approval,Positive
Bajaj Finance faces supply chain disruption,Negative
Bajaj Finance share price hits 52-week low,Negative
LIC faces supply chain disruption,Negative
LIC expands manufacturing capacity,Positive
SBI reports quarterly loss,Negative
HCLTech stock falls after weak earnings,Negative
Reliance Industries net profit increases by Microsoft%,Positive
Tata Power declares special dividend,Positive
Hindustan Unilever receives RBI approval,Positive
Hindustan Unilever reports decline in exports,Negative
LIC declares special dividend,Positive
JSW Steel declares special dividend,Positive
Adani Green receives SEBI approval for new fund,Positive
TVS Motors faces supply chain disruption,Negative
LIC faces supply chain disruption,Negative
Tata Power receives major government contract,Positive
Infosys project delayed due to regulatory issues,Negative
Nestle India faces legal dispute,Negative
Zomato announces expansion across India,Positive
Adani Green announces expansion across India,Positive
HCLTech stock falls after weak earnings,Negative
ICICI Bank announces new EV production plant,Positive
ITC reports weak demand in domestic market,Negative
Tata Steel faces cyber security breach,Negative
TVS Motors stock falls after weak earnings,Negative
Kotak Mahindra Bank reports decline in customer growth,Negative
ICICI Bank stock falls after weak earnings,Negative
NTPC delays expansion project,Negative
Titan faces supply chain disruption,Negative
ITC share price hits 52-week low,Negative
UltraTech Cement faces SEBI investigation,Negative
HCLTech receives major government contract,Positive
Paytm reports decline in exports,Negative
DLF announces expansion across India,Positive
Zomato faces SEBI investigation,Negative
Kotak Mahindra Bank attracts foreign investment worth ₹ISRO crore,Positive
Hindustan Unilever reports decline in exports,Negative
Maruti Suzuki reports strong digital payment growth,Positive
Bajaj Finance announces employee layoffs,Negative
Reliance Industries receives RBI penalty,Negative
ONGC reports quarterly loss,Negative
Mahindra & Mahindra reports strong export growth,Positive
LIC reports decline in customer growth,Negative
LIC announces new EV production plant,Positive
TCS announces expansion across India,Positive
Zomato reports weak demand in domestic market,Negative
ICICI Bank revenue grows by Google%,Positive
Bajaj Finance announces employee layoffs,Negative
Adani Enterprises reports rising operating costs,Negative
Power Grid reports strong digital payment growth,Positive
Titan net profit falls by 23%,Negative
Tata Power revenue declines by 31%,Negative
Nykaa attracts foreign investment worth ₹NVIDIA crore,Positive
Tata Power faces cyber security breach,Negative
Coal India signs partnership with NPCI,Positive
Mahindra & Mahindra net profit increases by Flipkart%,Positive
LIC revenue declines by 20%,Negative
TVS Motors faces SEBI investigation,Negative
Nestle India reports strong digital payment growth,Positive
Wipro revenue grows by ISRO%,Positive
Wipro revenue grows by Flipkart%,Positive
Wipro delays expansion project,Negative
Tata Power announces employee layoffs,Negative
Adani Green faces SEBI investigation,Negative
Paytm share price hits 52-week low,Negative
TCS announces expansion across India,Positive
Asian Paints announces employee layoffs,Negative
Tata Steel expands manufacturing capacity,Positive
Adani Ports receives SEBI approval for new fund,Positive
Infosys launches AI-powered financial platform,Positive
TCS share price hits 52-week low,Negative
Swiggy receives RBI penalty,Negative
Swiggy receives SEBI approval for new fund,Positive
Kotak Mahindra Bank attracts foreign investment worth ₹Razorpay crore,Positive
DLF announces employee layoffs,Negative
UltraTech Cement net profit increases by Razorpay%,Positive
Adani Ports signs partnership with Flipkart,Positive
Swiggy reports decline in customer growth,Negative
Asian Paints reports decline in exports,Negative
Asian Paints receives RBI approval,Positive
JSW Steel reports rising operating costs,Negative
Nykaa receives major government contract,Positive
Tata Motors receives SEBI approval for new fund,Positive
TVS Motors reports record quarterly profit,Positive
Titan share price hits 52-week low,Negative
HDFC Bank faces cyber security breach,Negative
Tata Motors revenue grows by NPCI%,Positive
Hindustan Unilever share price hits 52-week low,Negative
Adani Enterprises announces expansion across India,Positive
ICICI Bank project delayed due to regulatory issues,Negative
TCS reports strong digital payment growth,Positive
HCLTech stock jumps after strong earnings,Positive
Asian Paints announces employee layoffs,Negative
Axis Bank receives RBI penalty,Negative
UltraTech Cement stock falls after weak earnings,Negative
JSW Steel receives SEBI approval for new fund,Positive
Coal India project delayed due to regulatory issues,Negative
UltraTech Cement reports weak demand in domestic market,Negative
ONGC announces new EV production plant,Positive
Adani Green reports weak demand in domestic market,Negative
Coal India misses analyst expectations,Negative
Coal India receives SEBI approval for new fund,Positive
Paytm receives SEBI approval for new fund,Positive
HDFC Bank reports rising operating costs,Negative
Swiggy revenue declines by 26%,Negative
Nestle India stock falls after weak earnings,Negative
Tata Power reports weak demand in domestic market,Negative
Bajaj Finance reports weak demand in domestic market,Negative
Wipro signs partnership with Google,Positive
NTPC reports strong export growth,Positive
Ashok Leyland launches AI-powered financial platform,Positive
Mahindra & Mahindra share price hits 52-week low,Negative
Maruti Suzuki share price reaches 52-week high,Positive
Tata Motors faces supply chain disruption,Negative
Ashok Leyland receives RBI penalty,Negative
ONGC announces new EV production plant,Positive
Maruti Suzuki announces new EV production plant,Positive
Tata Motors revenue grows by Flipkart%,Positive
Asian Paints wins infrastructure project worth ₹Microsoft crore,Positive
Kotak Mahindra Bank announces new EV production plant,Positive
Nestle India share price hits 52-week low,Negative
HDFC Bank share price reaches 52-week high,Positive
TVS Motors announces employee layoffs,Negative
ONGC reports quarterly loss,Negative
TVS Motors revenue declines by 11%,Negative
Paytm launches AI-powered financial platform,Positive
NTPC signs partnership with Jio Platforms,Positive
Bajaj Finance stock jumps after strong earnings,Positive
Ashok Leyland share price hits 52-week low,Negative
Tata Steel stock jumps after strong earnings,Positive
Zomato reports strong export growth,Positive
Vedanta reports rising operating costs,Negative
Hindustan Unilever reports decline in customer growth,Negative
ITC reports strong digital payment growth,Positive
ONGC faces cyber security breach,Negative
Zomato receives major government contract,Positive
Nestle India receives major government contract,Positive
Adani Ports attracts foreign investment worth ₹Amazon crore,Positive
Adani Ports faces legal dispute,Negative
LIC faces cyber security breach,Negative
Nestle India announces expansion across India,Positive
Mahindra & Mahindra reports decline in exports,Negative
Ashok Leyland revenue grows by Google%,Positive
Hindustan Unilever faces SEBI investigation,Negative
ITC stock falls after weak earnings,Negative
ICICI Bank signs partnership with Jio Platforms,Positive
Zomato stock falls after weak earnings,Negative
Maruti Suzuki announces employee layoffs,Negative
NTPC reports record quarterly profit,Positive
Vedanta expands manufacturing capacity,Positive
TCS stock jumps after strong earnings,Positive
Reliance Industries receives RBI penalty,Negative
SBI attracts foreign investment worth ₹Razorpay crore,Positive
Coal India reports quarterly loss,Negative
Adani Ports reports rising operating costs,Negative
Reliance Industries stock jumps after strong earnings,Positive
Bajaj Finance revenue declines by 24%,Negative
TVS Motors wins infrastructure project worth ₹ISRO crore,Positive
ITC wins infrastructure project worth ₹Amazon crore,Positive
ONGC receives SEBI approval for new fund,Positive
Mahindra & Mahindra signs partnership with Razorpay,Positive
NTPC net profit increases by Microsoft%,Positive
TCS reports decline in exports,Negative
IRCTC announces expansion across India,Positive
Titan faces cyber security breach,Negative
Tata Power receives major government contract,Positive
Maruti Suzuki stock falls after weak earnings,Negative
JSW Steel announces new EV production plant,Positive
Tata Motors reports rising operating costs,Negative
Hindustan Unilever project delayed due to regulatory issues,Negative
ICICI Bank net profit falls by 18%,Negative
Vedanta stock falls after weak earnings,Negative
Reliance Industries receives major government contract,Positive
Reliance Industries expands manufacturing capacity,Positive
Infosys receives RBI penalty,Negative
Zomato faces SEBI investigation,Negative
Bajaj Finance reports record quarterly profit,Positive
Infosys net profit falls by 9%,Negative
Kotak Mahindra Bank receives SEBI approval for new fund,Positive
Paytm reports decline in customer growth,Negative
TVS Motors net profit falls by 32%,Negative
HCLTech announces employee layoffs,Negative
TCS reports decline in customer growth,Negative
Infosys share price hits 52-week low,Negative
IRCTC reports weak demand in domestic market,Negative
Adani Green misses analyst expectations,Negative
Adani Enterprises revenue declines by 10%,Negative
UltraTech Cement faces cyber security breach,Negative
Asian Paints reports strong digital payment growth,Positive
Paytm wins infrastructure project worth ₹NVIDIA crore,Positive
TVS Motors wins infrastructure project worth ₹PhonePe crore,Positive
TVS Motors revenue declines by 35%,Negative
Tata Steel receives SEBI approval for new fund,Positive
Nykaa reports decline in customer growth,Negative
SBI announces expansion across India,Positive
TVS Motors reports rising operating costs,Negative
Axis Bank net profit falls by 29%,Negative
Infosys revenue grows by Google%,Positive
Mahindra & Mahindra faces supply chain disruption,Negative
Adani Green delays expansion project,Negative
Zomato reports strong digital payment growth,Positive
Power Grid misses analyst expectations,Negative
Titan stock falls after weak earnings,Negative
Tata Steel revenue declines by 21%,Negative
TCS announces employee layoffs,Negative
Power Grid share price hits 52-week low,Negative
TCS faces cyber security breach,Negative
Paytm share price hits 52-week low,Negative
Power Grid reports strong digital payment growth,Positive
Mahindra & Mahindra receives RBI penalty,Negative
Tata Steel revenue grows by Google%,Positive
Power Grid project delayed due to regulatory issues,Negative
Tata Steel net profit increases by DRDO%,Positive
Maruti Suzuki faces supply chain disruption,Negative
Infosys expands manufacturing capacity,Positive
HCLTech stock falls after weak earnings,Negative
Tata Steel announces new EV production plant,Positive
Zomato receives major government contract,Positive
Adani Ports delays expansion project,Negative
Coal India reports record quarterly profit,Positive
ONGC reports decline in customer growth,Negative
IRCTC attracts foreign investment worth ₹Razorpay crore,Positive
Swiggy receives major government contract,Positive
SBI announces new EV production plant,Positive
TCS share price hits 52-week low,Negative
Tata Motors receives RBI penalty,Negative
Tata Motors announces expansion across India,Positive
Wipro reports quarterly loss,Negative
Adani Green reports decline in exports,Negative
Tata Power net profit increases by Amazon%,Positive
Tata Motors receives RBI penalty,Negative
Axis Bank announces expansion across India,Positive
Infosys reports weak demand in domestic market,Negative
Hindustan Unilever launches AI-powered financial platform,Positive
UltraTech Cement wins infrastructure project worth ₹DRDO crore,Positive
Kotak Mahindra Bank reports decline in exports,Negative
Adani Green receives SEBI approval for new fund,Positive
Tata Power faces cyber security breach,Negative
Titan misses analyst expectations,Negative
JSW Steel reports record quarterly profit,Positive
Swiggy faces cyber security breach,Negative
Nestle India share price reaches 52-week high,Positive
ICICI Bank reports strong digital payment growth,Positive
ITC faces supply chain disruption,Negative
Tata Steel share price hits 52-week low,Negative
Tata Motors attracts foreign investment worth ₹NVIDIA crore,Positive
Adani Green delays expansion project,Negative
Power Grid reports strong export growth,Positive
Nykaa reports weak demand in domestic market,Negative
Bajaj Finance receives RBI approval,Positive
Hindustan Unilever receives SEBI approval for new fund,Positive
Nestle India signs partnership with NVIDIA,Positive
Adani Enterprises announces expansion across India,Positive
Asian Paints misses analyst expectations,Negative
Bajaj Finance share price reaches 52-week high,Positive
Infosys attracts foreign investment worth ₹Amazon crore,Positive
Tata Steel reports decline in exports,Negative
Ashok Leyland delays expansion project,Negative
Swiggy reports record quarterly profit,Positive
Kotak Mahindra Bank receives RBI penalty,Negative
Nykaa stock jumps after strong earnings,Positive
Titan announces employee layoffs,Negative
Swiggy faces cyber security breach,Negative
Coal India receives RBI penalty,Negative
Adani Ports faces supply chain disruption,Negative
ICICI Bank receives RBI penalty,Negative
NTPC receives RBI approval,Positive
Coal India stock falls after weak earnings,Negative
Adani Ports reports decline in customer growth,Negative
SBI reports decline in exports,Negative
TCS signs partnership with Amazon,Positive
ONGC net profit falls by 29%,Negative
ICICI Bank faces legal dispute,Negative
DLF signs partnership with DRDO,Positive
Tata Power revenue declines by 29%,Negative
Maruti Suzuki declares special dividend,Positive
Mahindra & Mahindra announces expansion across India,Positive
Ashok Leyland faces cyber security breach,Negative
Mahindra & Mahindra reports record quarterly profit,Positive
Swiggy reports quarterly loss,Negative
SBI reports rising operating costs,Negative
IRCTC revenue declines by 9%,Negative
NTPC faces legal dispute,Negative
SBI attracts foreign investment worth ₹Flipkart crore,Positive
ONGC faces supply chain disruption,Negative
JSW Steel announces new EV production plant,Positive
Mahindra & Mahindra faces cyber security breach,Negative
Vedanta reports decline in customer growth,Negative
DLF project delayed due to regulatory issues,Negative
DLF reports decline in exports,Negative
Axis Bank faces SEBI investigation,Negative
Asian Paints announces employee layoffs,Negative
Adani Green expands manufacturing capacity,Positive
SBI wins infrastructure project worth ₹Flipkart crore,Positive
Coal India reports weak demand in domestic market,Negative
HDFC Bank receives RBI penalty,Negative
HCLTech receives SEBI approval for new fund,Positive
Tata Power reports quarterly loss,Negative
Maruti Suzuki revenue declines by 35%,Negative
TCS launches AI-powered financial platform,Positive
Nykaa reports rising operating costs,Negative
IRCTC attracts foreign investment worth ₹DRDO crore,Positive
IRCTC launches AI-powered financial platform,Positive
HCLTech net profit falls by 26%,Negative
HDFC Bank stock jumps after strong earnings,Positive
Zomato announces new EV production plant,Positive
NTPC receives major government contract,Positive
Adani Enterprises announces new EV production plant,Positive
ONGC receives major government contract,Positive
Coal India signs partnership with Flipkart,Positive
Kotak Mahindra Bank announces new EV production plant,Positive
Axis Bank expands manufacturing capacity,Positive
Vedanta net profit increases by ISRO%,Positive
Asian Paints receives major government contract,Positive
Reliance Industries reports record quarterly profit,Positive
TVS Motors receives RBI approval,Positive
Bajaj Finance delays expansion project,Negative
Wipro stock jumps after strong earnings,Positive
Adani Enterprises reports quarterly loss,Negative
ITC revenue declines by 14%,Negative
Maruti Suzuki launches AI-powered financial platform,Positive
JSW Steel reports decline in customer growth,Negative
ITC net profit increases by NPCI%,Positive
Nestle India receives SEBI approval for new fund,Positive
ONGC project delayed due to regulatory issues,Negative
ONGC faces cyber security breach,Negative
ICICI Bank signs partnership with Google,Positive
HDFC Bank declares special dividend,Positive
Adani Ports project delayed due to regulatory issues,Negative
Mahindra & Mahindra revenue grows by Jio Platforms%,Positive
Adani Green faces legal dispute,Negative
TCS signs partnership with Jio Platforms,Positive
HCLTech attracts foreign investment worth ₹Google crore,Positive
TVS Motors declares special dividend,Positive
Tata Motors share price reaches 52-week high,Positive
Tata Steel receives SEBI approval for new fund,Positive
HDFC Bank stock falls after weak earnings,Negative
Bajaj Finance receives major government contract,Positive
ONGC launches AI-powered financial platform,Positive
Adani Ports announces employee layoffs,Negative
Adani Ports launches AI-powered financial platform,Positive
Kotak Mahindra Bank announces employee layoffs,Negative
Maruti Suzuki share price hits 52-week low,Negative
ITC signs partnership with Microsoft,Positive
HCLTech share price hits 52-week low,Negative
ICICI Bank announces expansion across India,Positive
Mahindra & Mahindra share price reaches 52-week high,Positive
ONGC share price hits 52-week low,Negative
Adani Enterprises announces new EV production plant,Positive
Maruti Suzuki faces supply chain disruption,Negative
JSW Steel revenue grows by Google%,Positive
JSW Steel receives major government contract,Positive
Asian Paints declares special dividend,Positive
Mahindra & Mahindra stock falls after weak earnings,Negative
ITC faces supply chain disruption,Negative
SBI reports decline in exports,Negative
Tata Steel declares special dividend,Positive
Maruti Suzuki reports weak demand in domestic market,Negative
HDFC Bank reports decline in customer growth,Negative
Vedanta reports weak demand in domestic market,Negative
Coal India reports strong export growth,Positive
Tata Steel project delayed due to regulatory issues,Negative
Nestle India declares special dividend,Positive
TVS Motors misses analyst expectations,Negative
Adani Green attracts foreign investment worth ₹NVIDIA crore,Positive
ONGC net profit falls by 26%,Negative
Power Grid project delayed due to regulatory issues,Negative
DLF faces cyber security breach,Negative
HCLTech announces expansion across India,Positive
HCLTech revenue declines by 12%,Negative
IRCTC stock falls after weak earnings,Negative
Titan announces employee layoffs,Negative
Titan reports weak demand in domestic market,Negative
Asian Paints reports quarterly loss,Negative
JSW Steel signs partnership with Razorpay,Positive
Tata Power receives RBI approval,Positive
Infosys announces employee layoffs,Negative
Ashok Leyland launches AI-powered financial platform,Positive
Adani Ports receives RBI penalty,Negative
Reliance Industries reports rising operating costs,Negative
IRCTC share price reaches 52-week high,Positive
Swiggy project delayed due to regulatory issues,Negative
Adani Enterprises stock jumps after strong earnings,Positive
ONGC reports strong export growth,Positive
Axis Bank launches AI-powered financial platform,Positive
Axis Bank receives SEBI approval for new fund,Positive
HCLTech launches AI-powered financial platform,Positive
Paytm reports strong export growth,Positive
Reliance Industries reports weak demand in domestic market,Negative
Paytm reports strong digital payment growth,Positive
Mahindra & Mahindra stock jumps after strong earnings,Positive
Nestle India reports rising operating costs,Negative
Tata Steel receives major government contract,Positive
Titan reports record quarterly profit,Positive
Coal India net profit increases by DRDO%,Positive
TVS Motors announces employee layoffs,Negative
Nykaa net profit increases by Amazon%,Positive
TVS Motors reports decline in exports,Negative
Reliance Industries stock jumps after strong earnings,Positive
ITC reports record quarterly profit,Positive
Ashok Leyland launches AI-powered financial platform,Positive
Paytm declares special dividend,Positive
UltraTech Cement announces new EV production plant,Positive
Ashok Leyland stock jumps after strong earnings,Positive
Vedanta reports rising operating costs,Negative
Adani Enterprises expands manufacturing capacity,Positive
Adani Green receives RBI penalty,Negative
Axis Bank faces SEBI investigation,Negative
JSW Steel reports decline in customer growth,Negative
Nestle India wins infrastructure project worth ₹PhonePe crore,Positive
ONGC reports weak demand in domestic market,Negative
LIC reports weak demand in domestic market,Negative
Maruti Suzuki reports decline in exports,Negative
Titan faces SEBI investigation,Negative
Asian Paints receives major government contract,Positive
Kotak Mahindra Bank delays expansion project,Negative
ONGC net profit falls by 18%,Negative
Wipro reports decline in exports,Negative
Zomato faces cyber security breach,Negative
ONGC wins infrastructure project worth ₹PhonePe crore,Positive
ITC expands manufacturing capacity,Positive
Tata Steel faces legal dispute,Negative
ICICI Bank receives major government contract,Positive
TVS Motors faces legal dispute,Negative
Reliance Industries project delayed due to regulatory issues,Negative
Wipro reports strong export growth,Positive
TVS Motors announces new EV production plant,Positive
Vedanta reports strong digital payment growth,Positive
Infosys revenue declines by 22%,Negative
Kotak Mahindra Bank stock jumps after strong earnings,Positive
ICICI Bank declares special dividend,Positive
NTPC stock jumps after strong earnings,Positive
Wipro project delayed due to regulatory issues,Negative
TCS net profit increases by Amazon%,Positive
Power Grid reports quarterly loss,Negative
Titan attracts foreign investment worth ₹DRDO crore,Positive
Nestle India delays expansion project,Negative
Maruti Suzuki delays expansion project,Negative
Mahindra & Mahindra reports record quarterly profit,Positive
Vedanta net profit falls by 26%,Negative
ONGC announces employee layoffs,Negative
Asian Paints wins infrastructure project worth ₹Jio Platforms crore,Positive
ITC signs partnership with Google,Positive
Wipro receives RBI approval,Positive
Maruti Suzuki faces cyber security breach,Negative
Reliance Industries reports strong export growth,Positive
Nykaa faces legal dispute,Negative
Vedanta reports strong digital payment growth,Positive
TCS receives major government contract,Positive
Adani Enterprises receives major government contract,Positive
Adani Enterprises net profit falls by 20%,Negative
Kotak Mahindra Bank announces new EV production plant,Positive
Titan reports strong export growth,Positive
LIC reports decline in customer growth,Negative
Tata Motors revenue declines by 6%,Negative
NTPC receives RBI penalty,Negative
TCS announces new EV production plant,Positive
Adani Ports project delayed due to regulatory issues,Negative
ONGC declares special dividend,Positive
