age,income_lakh,investment_lakh,risk_score,experience,market_exposure,diversification,previous_return,annual_return,return_binary,return_category
54,15.7,5.7,9,2,40.9,9,-3.7,15.4,1,1
46,10.3,6.8,10,2,58.6,3,-3.8,9.5,0,0
31,16.5,7.3,7,3,96.7,5,-4.8,18.2,1,1
50,11.0,8.7,7,2,88.7,3,7.9,17.4,1,1
49,6.3,7.6,4,1,82.2,4,20.7,17.1,1,1
51,7.9,8.4,3,14,68.0,5,24.2,20.1,1,2
34,20.8,2.0,1,21,35.9,4,13.6,13.0,0,1
28,12.1,3.0,1,1,17.8,8,4.2,4.6,0,0
48,3.1,7.6,2,5,59.4,5,-4.2,6.0,0,0
50,12.2,13.4,1,0,20.2,6,5.8,14.7,0,1
42,5.1,14.6,9,18,49.6,5,6.6,20.2,1,2
55,8.4,1.6,9,4,42.5,5,-2.4,8.5,0,0
42,15.3,13.2,10,26,91.1,7,5.5,28.8,1,2
48,7.9,10.9,2,19,16.6,5,1.6,8.8,0,0
26,7.1,14.0,6,19,10.1,10,-1.3,17.3,1,1
30,6.7,3.2,1,28,60.5,7,6.3,10.6,0,1
22,13.8,3.6,6,26,81.4,9,9.8,22.2,1,2
23,22.4,1.0,7,17,81.3,4,-0.1,14.7,0,1
53,7.1,2.6,6,6,31.5,1,20.4,10.4,0,1
23,5.7,12.5,3,10,71.1,9,1.1,10.4,0,1
22,14.1,4.9,6,2,30.9,6,11.6,14.8,0,1
57,23.5,2.0,7,24,37.0,7,9.8,20.2,1,2
49,15.9,7.3,10,24,86.1,7,19.3,27.6,1,2
55,17.4,4.0,3,21,76.3,4,3.1,11.2,0,1
50,8.3,5.2,2,11,86.2,10,11.5,12.9,0,1
24,20.5,4.2,3,23,14.4,7,24.2,17.2,1,1
30,23.7,7.4,8,26,61.6,10,1.5,26.2,1,2
50,18.8,3.5,5,29,38.8,9,-3.1,10.0,0,1
51,17.7,9.1,10,12,25.2,10,1.6,20.4,1,2
42,24.2,12.1,6,25,32.7,10,23.8,31.4,1,2
58,6.4,7.6,7,20,33.9,3,9.0,17.0,1,1
21,6.3,6.9,10,4,13.3,5,10.8,14.0,0,1
52,16.2,3.5,2,12,40.4,10,8.3,15.3,1,1
42,24.2,7.7,7,12,50.2,1,19.3,23.7,1,2
33,20.5,4.4,2,15,27.4,1,2.2,7.9,0,0
49,10.6,13.2,7,25,17.0,2,2.1,13.4,0,1
38,21.0,7.3,5,13,13.5,7,14.4,20.9,1,2
32,24.7,4.3,3,2,54.6,1,16.0,15.2,1,1
26,16.6,11.3,7,9,82.6,1,17.0,22.7,1,2
31,11.9,11.2,7,5,63.0,4,12.0,23.6,1,2
55,9.7,6.6,10,5,53.5,5,11.2,17.1,1,1
51,22.0,2.2,1,15,42.3,8,7.8,17.3,1,1
43,14.8,14.5,7,14,22.5,3,0.8,16.9,1,1
58,8.8,2.8,6,8,77.9,3,24.2,21.1,1,2
22,5.5,10.4,9,0,89.2,6,8.7,18.7,1,1
49,8.6,1.9,3,6,91.5,3,-2.8,4.3,0,0
31,18.9,3.9,4,9,63.9,6,13.4,18.3,1,1
41,24.8,13.7,10,22,11.8,9,8.0,32.4,1,2
26,14.5,1.5,7,28,55.3,6,10.8,17.7,1,1
57,16.3,6.0,2,5,12.3,8,-0.0,9.2,0,0
30,14.8,6.3,2,0,83.9,8,0.6,12.3,0,1
26,18.0,0.7,6,26,29.2,1,15.0,12.7,0,1
56,22.3,11.6,4,14,45.9,2,14.0,20.4,1,2
24,19.6,9.9,10,19,85.9,1,0.4,23.8,1,2
41,7.3,0.9,5,26,59.6,3,24.5,18.6,1,1
55,18.2,13.7,5,25,85.6,9,2.5,21.4,1,2
21,6.8,14.1,2,25,25.0,10,19.8,20.8,1,2
29,18.8,14.1,3,19,80.0,10,9.8,28.4,1,2
45,14.3,14.0,4,20,72.7,5,23.2,28.8,1,2
47,8.6,12.4,2,16,33.2,8,21.5,20.3,1,2
30,20.0,3.7,5,7,45.6,1,13.0,14.5,0,1
28,24.5,9.3,5,13,96.6,4,12.8,26.5,1,2
28,17.0,3.3,3,28,77.3,1,19.0,18.7,1,1
28,20.6,13.9,8,7,78.9,1,-0.3,18.8,1,1
53,11.7,12.5,10,11,81.3,9,4.4,23.5,1,2
56,16.0,6.8,1,23,73.8,2,12.4,12.6,0,1
42,5.1,5.7,6,3,64.4,9,-4.5,8.4,0,0
43,18.1,4.1,7,24,88.6,2,-1.1,16.8,1,1
27,18.1,4.5,3,12,52.6,7,7.6,16.9,1,1
34,9.3,12.3,10,11,25.5,8,16.2,26.7,1,2
26,20.8,12.8,10,13,61.4,9,18.3,35.0,1,2
28,16.8,8.2,4,9,20.9,2,9.3,12.9,0,1
38,14.1,4.7,9,7,54.6,6,0.9,15.8,1,1
52,15.8,8.7,5,7,70.4,7,9.9,17.6,1,1
34,24.5,2.4,5,21,98.3,6,10.5,21.2,1,2
38,5.8,12.0,10,27,72.6,7,6.4,21.8,1,2
27,17.8,3.7,1,13,93.9,4,23.6,19.9,1,1
46,15.2,8.5,4,16,96.4,8,-4.5,15.2,1,1
53,6.5,6.7,7,29,71.5,7,13.6,22.4,1,2
33,9.3,13.1,4,4,59.2,8,19.4,21.3,1,2
33,10.1,13.2,8,17,53.4,3,23.7,28.8,1,2
32,23.1,13.0,3,8,14.0,5,21.8,26.7,1,2
31,6.8,14.9,10,4,86.8,10,14.8,27.4,1,2
25,5.6,5.8,3,1,42.3,8,0.6,6.7,0,0
43,10.4,14.3,10,16,45.6,6,5.7,20.5,1,2
28,13.4,0.7,8,2,71.3,3,2.6,15.8,1,1
24,20.1,7.1,9,16,87.5,7,17.4,27.6,1,2
36,15.0,12.8,7,28,73.0,3,-3.2,19.1,1,1
57,10.7,10.6,8,25,58.3,1,11.1,20.0,1,1
46,14.5,12.0,8,2,53.7,4,8.3,22.0,1,2
37,23.4,2.3,6,4,44.9,3,16.5,18.7,1,1
31,19.8,9.4,4,13,24.9,10,21.3,22.4,1,2
50,5.9,4.4,2,18,80.6,3,-3.2,6.4,0,0
55,20.0,0.6,8,10,85.5,7,-2.8,17.1,1,1
34,22.4,13.0,6,9,57.6,2,-3.5,17.7,1,1
45,10.0,1.2,10,18,46.8,6,2.9,15.5,1,1
42,20.3,2.6,5,7,53.1,3,0.6,10.9,0,1
52,17.2,1.3,5,30,69.2,1,3.7,15.7,1,1
30,9.5,13.6,5,18,97.2,4,9.7,23.4,1,2
27,21.0,1.1,10,16,41.5,8,-2.0,14.5,0,1
31,5.3,13.3,1,7,70.0,5,8.7,13.1,0,1
42,7.5,14.9,2,14,85.5,7,13.9,24.6,1,2
59,4.6,5.7,10,11,79.3,4,5.8,17.0,1,1
49,24.2,10.5,8,24,84.6,2,19.8,28.1,1,2
27,19.2,13.6,5,6,57.6,9,-1.3,19.0,1,1
35,22.7,11.8,10,24,79.6,6,11.9,28.2,1,2
40,14.9,6.2,8,16,40.1,1,6.9,13.6,0,1
35,19.5,12.2,7,19,48.4,10,-2.7,22.1,1,2
53,4.9,14.4,10,11,81.4,10,8.1,22.5,1,2
33,14.3,9.0,9,3,23.6,8,20.5,26.4,1,2
36,24.9,4.2,5,21,55.5,4,-2.2,13.6,0,1
32,20.7,3.4,4,29,85.1,1,10.9,19.8,1,1
33,16.9,6.8,2,14,26.7,7,15.0,14.6,0,1
54,19.2,13.8,6,11,36.6,5,17.6,25.3,1,2
27,21.9,10.7,6,12,82.0,5,10.0,27.2,1,2
23,22.7,2.5,10,0,38.5,6,22.6,24.2,1,2
59,11.4,11.8,1,8,21.8,8,0.8,8.6,0,0
27,20.4,12.5,10,18,74.8,3,19.5,30.9,1,2
37,6.8,5.8,7,20,64.7,3,7.8,16.8,1,1
30,24.2,11.1,9,13,23.7,4,7.6,22.7,1,2
23,4.4,12.4,4,27,49.4,5,10.9,15.5,1,1
40,8.2,4.5,3,29,21.9,5,9.7,12.1,0,1
34,15.2,7.5,9,29,76.1,2,20.0,31.6,1,2
49,11.0,3.8,4,29,58.8,1,9.0,11.0,0,1
37,3.0,14.8,9,4,96.2,8,16.3,24.7,1,2
54,11.8,0.7,1,29,43.9,8,-2.3,4.2,0,0
25,14.1,12.6,5,18,93.0,5,24.3,27.8,1,2
27,23.8,10.6,10,16,34.7,4,-4.7,18.2,1,1
47,8.7,3.3,8,12,23.1,3,17.3,18.0,1,1
26,24.6,3.0,3,19,53.6,8,3.5,15.7,1,1
23,24.8,4.8,2,6,35.1,6,-4.1,8.8,0,0
32,18.9,13.2,8,8,63.0,2,16.8,27.2,1,2
54,12.5,13.7,10,23,20.1,4,22.0,27.9,1,2
57,17.2,12.1,9,29,99.7,9,20.3,37.8,1,2
23,20.9,5.7,6,0,19.9,9,17.1,21.8,1,2
22,21.3,4.0,8,20,84.7,10,15.3,25.1,1,2
48,13.5,9.2,8,9,71.2,9,10.9,22.4,1,2
43,15.7,2.1,7,15,76.7,5,2.6,12.2,0,1
24,24.3,14.7,2,3,90.6,8,23.4,31.3,1,2
49,9.2,11.9,6,8,95.7,2,4.2,12.7,0,1
41,15.8,6.3,7,4,97.6,3,11.3,20.3,1,2
32,24.0,9.2,3,20,75.3,9,-2.7,19.0,1,1
57,20.6,6.0,7,11,53.2,1,17.3,20.7,1,2
31,12.9,9.1,6,16,24.2,7,13.2,19.0,1,1
29,8.6,1.1,10,24,15.7,2,3.9,12.0,0,1
21,3.9,13.4,3,2,68.5,9,0.9,14.4,0,1
56,22.8,9.8,8,2,52.4,7,5.6,22.7,1,2
53,5.5,7.1,9,15,43.8,10,13.5,21.1,1,2
60,12.4,9.5,5,30,72.6,8,14.1,22.8,1,2
55,10.6,6.6,3,3,89.8,4,-4.9,5.6,0,0
36,10.7,2.2,1,4,61.1,2,21.2,10.7,0,1
24,15.6,4.2,7,1,53.1,2,19.8,16.4,1,1
22,22.0,5.4,2,13,26.2,5,9.5,16.1,1,1
40,21.3,1.8,8,15,86.2,2,9.6,19.2,1,1
47,14.8,14.1,3,14,50.0,6,7.5,16.6,1,1
32,13.0,7.8,4,12,16.6,6,20.9,15.8,1,1
50,16.2,10.3,7,27,48.4,10,-2.7,20.0,1,1
24,5.5,8.6,4,9,90.9,1,9.8,15.0,1,1
32,4.5,10.2,2,19,38.3,9,0.7,10.5,0,1
32,14.5,11.8,9,24,94.4,2,19.5,26.5,1,2
29,12.9,11.9,8,14,80.9,2,8.3,20.8,1,2
56,7.7,12.8,8,21,13.9,5,0.0,14.3,0,1
55,6.3,9.4,5,23,85.3,5,8.4,16.3,1,1
55,8.7,4.4,8,8,31.2,10,14.3,15.0,1,1
40,5.4,12.4,6,13,33.1,7,4.6,14.3,0,1
53,18.7,2.7,8,2,67.4,4,23.6,24.5,1,2
22,4.3,1.6,10,6,83.7,7,2.7,13.4,0,1
25,13.6,3.7,5,26,13.9,10,4.7,17.3,1,1
32,6.1,6.4,8,25,79.5,8,-4.1,12.0,0,1
58,21.2,13.4,8,24,50.1,1,9.9,18.7,1,1
44,6.3,14.7,7,7,63.8,9,20.6,25.0,1,2
47,7.7,11.0,9,21,32.2,2,4.7,14.1,0,1
29,19.9,10.3,8,9,16.1,5,16.6,23.5,1,2
39,5.2,6.9,10,16,20.7,5,0.1,14.2,0,1
34,17.8,6.6,3,5,13.3,8,7.9,12.3,0,1
32,23.6,9.9,1,10,18.0,9,13.9,19.5,1,1
57,3.9,7.2,2,14,81.5,9,19.7,19.7,1,1
47,11.7,0.5,10,6,27.0,4,23.7,18.5,1,1
54,5.6,12.0,4,22,81.8,8,1.2,13.9,0,1
55,23.1,6.0,5,26,67.3,1,4.1,17.4,1,1
28,22.4,7.2,10,10,68.5,5,9.2,26.0,1,2
58,19.2,12.1,7,0,20.0,1,6.5,14.9,0,1
29,17.1,2.3,1,23,95.8,2,21.2,15.3,1,1
57,20.2,9.5,7,15,72.9,10,6.0,26.1,1,2
58,3.8,9.5,5,12,50.0,2,-3.9,7.7,0,0
43,4.8,14.9,6,24,76.0,7,19.1,24.8,1,2
38,6.6,10.5,6,4,86.3,2,7.8,15.7,1,1
36,10.8,14.1,3,5,54.6,9,2.4,12.5,0,1
21,6.6,8.5,4,12,64.9,10,19.1,18.5,1,1
31,15.7,9.2,2,6,92.3,8,22.1,24.5,1,2
31,15.7,4.6,9,11,64.7,3,-3.8,15.2,1,1
46,7.1,14.5,1,12,97.7,6,-1.3,15.0,1,1
59,22.5,9.1,2,11,10.4,7,16.1,16.1,1,1
53,16.9,11.5,7,12,92.3,6,20.0,31.2,1,2
38,24.3,11.9,9,22,66.8,7,1.4,25.8,1,2
56,24.0,5.4,3,25,14.5,8,21.8,20.5,1,2
35,23.1,6.6,10,27,58.1,10,5.7,27.1,1,2
40,15.0,3.5,4,10,91.1,3,15.2,18.7,1,1
21,13.0,6.7,8,16,92.2,4,14.5,24.9,1,2
31,12.2,14.1,6,9,47.6,2,7.8,18.3,1,1
36,16.8,10.3,5,29,35.1,5,9.2,16.0,1,1
28,14.7,9.2,2,11,34.6,8,12.5,15.8,1,1
55,6.5,2.1,2,6,22.3,1,0.9,0.7,0,0
35,5.7,10.2,3,9,86.3,5,11.8,15.5,1,1
58,24.0,9.7,10,20,71.3,8,18.2,34.8,1,2
59,11.8,12.5,9,30,85.1,10,15.0,29.6,1,2
43,18.6,9.2,7,6,27.2,10,9.0,24.8,1,2
28,20.1,1.3,4,9,55.7,9,-4.7,9.7,0,0
56,13.0,2.4,7,13,24.1,1,-1.9,8.5,0,0
57,8.6,6.1,6,5,22.7,5,3.0,10.8,0,1
50,7.2,12.4,3,17,33.1,4,14.3,13.6,0,1
47,5.8,5.6,3,28,79.5,6,0.7,7.2,0,0
31,9.6,0.8,2,20,37.3,5,19.2,13.7,0,1
47,4.3,1.2,3,0,84.4,3,19.2,11.0,0,1
46,18.2,7.5,9,10,35.6,2,4.9,12.3,0,1
54,19.3,12.7,7,1,17.6,7,20.3,24.8,1,2
26,3.5,3.9,5,2,31.4,8,0.8,7.5,0,0
44,18.7,10.6,9,26,57.8,8,17.8,29.5,1,2
27,4.1,5.7,1,3,91.1,7,5.7,10.2,0,1
27,13.7,1.6,2,1,55.5,9,-2.8,8.5,0,0
38,18.1,6.1,3,13,21.6,9,2.0,12.1,0,1
54,19.7,1.5,1,6,32.3,9,8.0,11.2,0,1
41,6.9,8.3,6,1,22.6,1,7.6,7.3,0,0
40,19.6,4.2,7,10,24.9,6,-3.5,11.6,0,1
44,8.5,3.0,3,5,28.5,5,23.4,16.1,1,1
35,4.9,0.9,9,8,20.9,6,20.5,18.4,1,1
45,23.3,11.4,8,9,18.7,2,-1.2,17.2,1,1
57,23.0,12.8,2,15,68.0,7,-3.4,18.6,1,1
41,5.1,4.6,3,17,96.9,10,14.1,17.6,1,1
25,14.0,11.3,7,24,66.7,2,19.2,22.8,1,2
40,17.2,12.4,8,2,71.6,8,19.9,28.2,1,2
45,9.4,2.9,7,14,85.0,9,9.1,13.7,0,1
34,14.6,14.9,1,13,51.0,2,19.8,23.6,1,2
39,17.6,3.1,10,29,19.8,3,2.8,15.5,1,1
39,14.9,1.9,10,28,59.4,3,19.9,22.7,1,2
40,12.2,8.2,10,5,22.8,4,8.0,19.5,1,1
37,19.6,14.1,10,2,89.1,8,-3.3,25.4,1,2
41,15.5,9.6,2,17,67.3,9,15.0,18.5,1,1
38,4.4,14.8,10,23,29.0,4,17.8,23.7,1,2
60,4.4,9.1,9,12,43.1,5,-3.8,11.8,0,1
27,21.3,4.3,1,4,94.4,5,-3.9,10.7,0,1
35,7.1,14.9,1,8,43.2,1,13.9,11.0,0,1
37,6.6,1.6,1,22,60.3,9,21.4,16.7,1,1
54,8.1,3.0,9,25,10.6,3,10.3,15.2,1,1
30,22.9,4.2,8,6,27.8,2,16.3,19.4,1,1
28,22.0,1.7,7,16,27.8,4,1.5,13.0,0,1
44,19.6,4.5,9,17,22.0,5,16.0,21.4,1,2
44,4.0,3.4,3,24,46.3,4,7.4,5.9,0,0
57,21.4,5.3,4,25,12.0,10,3.7,21.3,1,2
42,18.7,7.6,1,12,69.8,8,7.5,16.4,1,1
34,22.7,4.6,10,22,32.1,8,19.1,24.5,1,2
51,23.1,11.6,7,9,96.8,1,23.3,32.9,1,2
39,8.8,8.6,7,13,13.3,4,24.5,21.9,1,2
60,3.2,1.9,10,16,55.6,2,9.3,8.4,0,0
23,14.1,9.9,10,2,15.4,9,2.5,21.8,1,2
40,21.9,1.0,2,3,72.8,3,-4.4,7.8,0,0
57,13.2,9.4,6,21,76.4,6,-1.0,16.6,1,1
36,4.7,6.9,9,24,62.4,5,0.7,14.7,0,1
56,8.3,5.5,4,1,27.4,5,7.1,11.8,0,1
49,14.6,7.5,3,12,33.9,10,-3.6,10.9,0,1
55,24.3,14.4,4,5,83.4,4,6.1,26.6,1,2
35,5.8,2.8,3,4,60.0,9,14.5,11.9,0,1
40,7.2,1.2,4,11,31.0,6,3.3,4.4,0,0
39,6.9,12.4,9,9,43.3,5,4.1,19.0,1,1
44,22.9,14.5,4,30,49.4,10,15.5,28.9,1,2
34,14.0,10.0,6,16,70.5,8,22.9,28.1,1,2
29,18.5,3.7,2,30,80.8,1,-3.3,10.2,0,1
36,19.9,11.4,5,4,34.9,9,-1.9,19.4,1,1
26,21.7,8.4,5,4,86.6,5,24.8,28.9,1,2
36,12.1,14.8,5,17,59.0,6,8.9,21.7,1,2
48,4.3,7.8,9,15,40.6,5,7.5,18.4,1,1
48,24.2,12.5,9,3,64.2,8,22.7,37.0,1,2
34,3.7,14.0,9,9,92.4,4,17.6,26.5,1,2
27,12.5,13.2,8,26,53.7,1,20.5,22.0,1,2
44,3.4,10.2,3,15,84.0,9,11.9,18.4,1,1
60,10.7,13.7,6,7,57.2,6,10.8,18.2,1,1
26,23.4,11.7,4,14,40.0,2,8.4,20.2,1,2
59,14.5,12.1,5,18,59.3,8,17.8,26.3,1,2
33,17.4,12.7,5,7,61.0,4,7.1,18.1,1,1
52,16.9,2.1,1,23,86.3,2,12.6,11.6,0,1
40,15.1,3.2,10,13,43.2,8,6.3,16.2,1,1
26,14.2,5.2,4,20,29.2,2,-0.5,7.6,0,0
21,17.1,5.2,2,28,34.3,3,20.0,17.7,1,1
45,6.4,7.1,2,23,48.1,2,6.7,5.2,0,0
40,6.6,6.9,10,17,78.4,7,-3.4,17.4,1,1
36,15.3,2.7,3,4,16.0,5,7.5,7.4,0,0
34,4.7,9.9,7,10,96.2,2,-3.4,10.5,0,1
48,17.6,7.0,1,6,99.0,6,-0.4,14.8,0,1
38,14.8,9.9,2,27,31.7,6,-4.1,13.2,0,1
28,9.4,11.0,2,27,65.7,8,21.8,20.3,1,2
46,7.2,9.6,3,1,24.3,9,-4.5,4.7,0,0
52,15.1,11.3,3,15,16.1,9,7.0,19.1,1,1
22,24.6,12.3,7,24,96.1,9,12.8,30.5,1,2
45,20.3,8.9,9,8,94.1,3,2.5,23.0,1,2
37,11.4,7.6,7,9,91.8,6,11.2,21.0,1,2
32,21.7,13.2,4,24,54.8,7,10.1,26.9,1,2
42,22.9,14.6,1,9,79.8,3,-3.8,14.8,0,1
24,14.8,5.4,2,21,36.1,10,13.8,18.7,1,1
23,3.5,1.9,1,23,24.2,10,16.7,11.3,0,1
52,23.5,3.4,10,18,81.5,6,9.9,26.8,1,2
37,18.9,6.7,1,13,99.6,10,17.0,25.0,1,2
43,21.6,0.6,5,0,38.0,9,11.5,17.2,1,1
53,22.3,5.3,2,20,62.2,3,-0.4,10.3,0,1
60,12.3,12.9,5,16,12.4,9,0.5,10.8,0,1
29,15.5,12.4,5,25,91.6,1,20.5,26.2,1,2
22,4.2,10.4,7,17,74.1,1,10.6,16.4,1,1
30,10.8,3.2,7,27,74.7,3,0.7,12.3,0,1
55,10.0,6.8,10,11,48.2,6,19.8,25.6,1,2
33,13.6,1.5,3,23,57.7,6,22.9,18.1,1,1
46,22.4,11.8,1,24,52.2,4,16.5,22.3,1,2
60,11.2,13.9,6,14,16.3,4,4.7,17.7,1,1
53,22.4,5.5,9,16,15.2,9,10.0,22.0,1,2
39,17.0,4.4,4,11,86.1,7,4.8,17.5,1,1
54,15.6,10.2,10,19,84.2,5,13.6,29.4,1,2
51,6.5,4.8,6,26,92.2,9,-0.5,16.4,1,1
24,10.5,10.6,1,2,12.1,1,-4.4,6.7,0,0
50,17.1,14.4,10,15,32.8,9,18.4,33.3,1,2
24,17.9,12.8,10,22,34.5,8,22.5,32.5,1,2
60,4.1,8.4,6,18,12.7,9,14.7,17.1,1,1
28,24.9,14.4,2,0,85.9,2,22.2,29.0,1,2
32,16.1,3.2,4,25,31.4,3,9.6,13.2,0,1
28,21.5,2.8,1,5,60.7,8,-1.3,9.9,0,0
54,21.9,4.7,10,26,99.8,10,23.4,35.0,1,2
55,13.5,1.2,1,6,67.8,3,19.0,15.9,1,1
39,11.3,2.2,10,27,28.4,6,-3.7,12.9,0,1
42,8.8,11.0,6,22,94.2,9,-1.1,20.8,1,2
59,24.0,5.0,2,5,47.9,3,21.7,14.5,0,1
44,18.0,10.0,4,11,64.3,1,7.0,12.8,0,1
38,4.3,9.8,9,18,89.8,10,1.7,19.4,1,1
38,14.4,7.3,1,29,70.8,4,15.2,19.6,1,1
42,3.2,9.5,10,29,38.9,1,0.5,13.5,0,1
60,14.6,9.4,7,4,14.7,10,24.0,25.3,1,2
52,12.9,11.2,8,2,95.6,6,7.6,23.7,1,2
45,9.6,11.9,9,16,56.1,1,19.2,27.2,1,2
47,13.6,6.3,2,21,48.2,9,22.8,20.8,1,2
51,21.8,2.9,10,18,45.6,4,15.2,26.9,1,2
28,9.4,10.6,5,14,17.6,10,18.7,22.1,1,2
30,24.7,12.6,4,19,20.6,2,8.4,19.0,1,1
31,8.7,5.7,2,23,15.8,3,8.3,6.9,0,0
24,4.4,4.2,5,2,19.1,8,4.2,3.3,0,0
27,24.2,7.1,7,1,16.2,4,0.4,17.7,1,1
41,7.2,13.2,2,1,36.8,4,13.6,15.8,1,1
56,17.1,14.1,8,17,75.3,10,-0.2,27.8,1,2
38,13.7,9.5,9,20,82.4,10,24.6,30.3,1,2
24,18.2,12.4,7,22,23.2,7,13.4,25.3,1,2
40,15.8,14.4,4,7,88.9,1,8.3,17.0,1,1
34,9.5,7.6,9,14,20.3,9,8.2,18.4,1,1
60,20.8,3.1,6,5,62.0,2,11.9,15.2,1,1
58,20.7,7.0,3,7,73.0,5,6.3,13.7,0,1
38,4.9,4.3,9,4,15.6,10,0.8,10.8,0,1
34,4.9,2.0,2,30,99.8,7,7.3,12.9,0,1
36,22.9,10.9,4,24,64.8,9,15.7,28.0,1,2
57,21.7,9.8,7,6,27.0,5,2.5,19.2,1,1
56,9.7,7.6,4,23,35.3,5,14.6,17.7,1,1
55,14.6,11.4,9,5,81.5,5,16.1,25.0,1,2
60,8.3,1.9,5,22,29.3,2,5.0,4.2,0,0
36,9.0,12.1,3,2,49.3,3,14.1,14.3,0,1
54,22.2,2.0,10,13,43.4,7,6.9,22.4,1,2
47,6.6,3.4,4,8,82.4,9,13.4,13.3,0,1
22,16.9,12.5,10,12,24.7,1,3.9,20.4,1,2
44,19.1,14.1,6,17,97.2,2,17.6,31.7,1,2
31,18.3,4.8,3,9,63.2,6,9.9,13.9,0,1
39,4.3,1.2,1,13,12.1,1,18.8,3.7,0,0
32,8.4,13.6,10,21,51.7,8,0.2,20.9,1,2
30,20.7,3.0,6,11,48.6,5,14.7,18.9,1,1
29,14.0,9.7,4,5,57.3,1,11.2,15.5,1,1
40,8.5,12.1,6,17,59.8,1,20.0,20.9,1,2
36,19.5,7.9,7,28,78.1,3,-3.7,16.1,1,1
34,21.3,2.4,7,25,64.2,3,4.5,15.8,1,1
48,9.5,12.4,4,18,38.5,2,-4.3,6.6,0,0
22,16.5,13.6,2,14,86.9,1,4.3,17.9,1,1
49,12.1,7.2,7,0,17.8,7,19.0,15.9,1,1
25,19.5,14.0,6,30,77.4,1,21.7,32.7,1,2
31,8.8,2.2,5,19,97.1,8,-4.5,9.0,0,0
41,11.1,5.0,5,13,73.4,8,22.4,22.3,1,2
29,18.5,2.7,9,9,52.4,3,5.0,15.5,1,1
35,9.6,7.2,6,28,69.4,4,5.1,15.3,1,1
34,21.6,4.4,10,21,90.0,5,-4.6,20.6,1,2
25,9.2,9.6,5,23,77.3,1,4.8,18.2,1,1
21,7.9,14.0,8,22,65.3,8,-1.2,19.2,1,1
23,19.3,8.0,2,24,21.4,1,-4.7,8.3,0,0
44,15.7,2.7,7,7,64.5,6,-1.2,13.0,0,1
52,22.7,14.5,6,30,51.5,6,-0.2,23.8,1,2
39,3.2,6.9,3,10,36.9,8,8.7,8.7,0,0
27,5.6,5.3,2,11,56.3,2,-4.6,1.5,0,0
26,3.3,0.8,4,2,52.5,6,-3.6,2.0,0,0
51,12.3,13.0,7,24,28.4,3,-1.7,14.0,0,1
38,15.4,10.6,4,1,11.4,3,9.7,14.7,0,1
21,14.5,14.9,2,30,42.6,6,3.5,22.7,1,2
57,8.9,5.1,3,18,97.3,8,9.8,14.0,0,1
55,19.7,6.0,5,10,36.3,7,9.2,18.7,1,1
38,5.4,2.7,10,14,88.7,6,2.9,12.8,0,1
45,11.4,13.5,9,4,52.7,4,22.8,28.7,1,2
34,14.7,4.8,3,0,79.9,6,9.0,13.2,0,1
36,22.0,6.4,1,24,61.2,9,16.6,21.6,1,2
22,8.8,2.5,7,3,49.6,8,15.2,16.0,1,1
35,17.2,10.4,1,6,90.1,7,18.8,23.9,1,2
55,7.7,9.8,2,21,58.2,2,3.0,13.4,0,1
44,23.4,3.3,9,19,79.4,5,9.5,25.1,1,2
40,7.6,5.8,7,3,49.1,8,22.8,21.9,1,2
44,6.2,6.0,7,2,13.2,10,24.8,20.4,1,2
40,6.3,3.3,8,9,32.5,1,13.7,11.0,0,1
27,12.5,1.5,6,27,67.2,7,0.1,11.5,0,1
58,15.1,12.6,10,20,15.0,5,7.6,24.0,1,2
27,9.1,7.8,3,6,19.0,3,0.0,4.1,0,0
34,12.6,8.1,3,6,98.9,6,16.8,20.6,1,2
44,21.6,2.5,9,6,94.5,3,17.1,23.2,1,2
53,8.6,3.7,8,9,91.7,6,12.6,18.4,1,1
52,19.3,13.1,5,21,52.2,2,17.4,23.6,1,2
36,11.8,8.2,8,18,87.5,5,-4.2,15.8,1,1
47,14.5,2.6,9,25,78.3,1,13.3,22.1,1,2
52,15.0,3.1,7,26,24.1,1,15.2,15.6,1,1
23,7.4,6.5,4,2,19.4,2,19.9,13.0,0,1
39,12.6,9.8,1,20,71.5,8,21.0,18.4,1,1
57,4.4,10.1,2,2,70.8,8,-0.9,7.4,0,0
22,8.3,3.1,8,1,63.3,9,22.2,26.4,1,2
30,9.2,13.8,9,27,33.6,4,6.6,21.8,1,2
21,5.8,10.4,2,28,71.9,6,6.1,12.3,0,1
51,11.8,4.3,2,1,98.7,8,-0.5,8.3,0,0
47,24.9,13.2,9,10,82.3,3,18.7,34.4,1,2
50,8.5,11.1,7,19,14.6,10,6.8,18.0,1,1
48,11.2,10.9,8,25,76.6,4,15.3,22.3,1,2
60,20.7,12.7,1,19,84.5,1,14.4,19.3,1,1
56,5.5,3.1,8,13,39.4,8,3.4,13.8,0,1
50,19.2,3.4,1,0,49.3,8,1.2,8.3,0,0
48,12.7,9.9,9,6,45.5,8,-3.2,18.8,1,1
39,5.3,11.6,3,11,72.1,5,4.9,8.8,0,0
23,7.5,5.1,3,7,23.9,6,3.7,2.7,0,0
39,19.4,0.7,9,4,57.7,8,-1.5,14.2,0,1
45,22.8,3.1,3,21,89.2,8,10.7,18.4,1,1
32,6.3,7.8,2,0,99.2,3,8.2,12.4,0,1
56,21.6,8.3,3,21,48.0,1,-0.8,13.4,0,1
26,14.6,4.8,8,28,64.7,6,10.2,21.1,1,2
